Mã sản phẩm,Tên sản phẩm,Danh mục,Thương hiệu,Xuất xứ,Giá gốc,Giá bán hiện tại,Giảm giá,Định lượng,Số lượng đã bán,Số lượng hàng tồn kho,Số lượt xem sản phẩm,Điểm đánh giá,Số lượng đánh giá,Mùa phổ biến,Giá trị định lượng,Đơn vị,Định lượng (g),Định lượng (ml),Loại sản phẩm
100030010400,Mắm Cá Hồi (28 Đạm) - Cát Hải (Chai 380ml),Nhu yếu phẩm,Thuỷ sản Cát Hải,Hải Phòng,234000.0,154000.0,0.34,380ml,863,485,1778,4.3,36,4 mùa,380.0,ml,,380000.0,lỏng
100040009803,Mì Chùm Ngây Vị Chua Cay - Foodmap Consumer (Thùng 30 gói),Nhu yếu phẩm,FOODMAP,Việt Nam,396000.0,296000.0,0.25,2100g,1470,393,2826,4.2,50,4 mùa,2100.0,g,2100.0,,rắn
100040010178,Thùng Mì Chay Mix 2 Loại Mới (Thùng 30 gói),Nhu yếu phẩm,FOODMAP,Việt Nam,348000.0,259000.0,0.26,2100g,1281,428,3753,4.2,11,4 mùa,2100.0,g,2100.0,,rắn
100040009802,Mì Chùm Ngây Vị Chua Cay - Foodmap Consumer (Combo 5 gói),Nhu yếu phẩm,FOODMAP,Việt Nam,66000.0,49000.0,0.26,350g,2608,318,7213,4.7,44,4 mùa,350.0,g,350.0,,rắn
100040009801,Mì Chùm Ngây Vị Chua Cay - Foodmap Consumer (Combo 10 gói),Nhu yếu phẩm,FOODMAP,Việt Nam,132000.0,110000.0,0.17,700g,2608,499,5782,4.5,38,4 mùa,700.0,g,700.0,,rắn
100040010196,Mì Chùm Ngây Vị Chua Cay - Foodmap Consumer (Combo 15 gói),Nhu yếu phẩm,FOODMAP,Việt Nam,210000.0,179000.0,0.15,1050g,2608,321,6480,4.7,24,4 mùa,1050.0,g,1050.0,,rắn
100030009556,Đường Thốt Nốt Dạng Viên - Đặc Sản Ngon Lành (1 Túi),Nhu yếu phẩm,Đặc Sản Ngon Lành,An Giang,55000.0,45000.0,0.18,500g,264,257,1023,4.5,42,4 mùa,500.0,g,500.0,,rắn
100040008644,Bột Lá Chùm Ngây - Vườn Nhà Mình (1 Gói),Nhu yếu phẩm,FOODMAP,Việt Nam,90000.0,70000.0,0.22,100g,18,121,77,4.7,31,4 mùa,100.0,g,100.0,,rắn
100030008735,Dầu Ăn Cooking Oil Nutri Plus Tường An (1 Can),Nhu yếu phẩm,VẠN CÁT,Việt Nam,79000.0,65000.0,0.18,1l,76,449,151,4.1,7,4 mùa,1.0,l,,1000.0,lỏng
100030008042,Dầu Ăn Cooking Oil Nutri Plus Tường An (Combo 3 can),Nhu yếu phẩm,VẠN CÁT,Việt Nam,230000.0,179000.0,0.22,3l,76,252,141,4.0,40,4 mùa,3.0,l,,3000.0,lỏng
